"Country","State","District","Sub-District","Year","Infant Mortality Rate (Imr) (UOM:%(Percentage)), Scaling Factor:1","People Living In Kutchha Houses (%) (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Not Using Solid Cooking Fuel (%) (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Without Electricity Connection (%) (UOM:%(Percentage)), Scaling Factor:1","Mothers Who Did Not Consume Iron Folic Acid For 180 Days Or More When They Were Pregnant (%) (UOM:%(Percentage)), Scaling Factor:1","Mothers Who Have Not Had At Least 4 Antenatal Care Visits (%) (UOM:%(Percentage)), Scaling Factor:1","Women Age 15-49 Years Who Are Anemic (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Not Even One Household Member Has Completed Six Years Of Schooling (%) (UOM:%(Percentage)), Scaling Factor:1","Children Age 6 To 59 Months Who Are Underweight Or Stunted (%) (UOM:%(Percentage)), Scaling Factor:1","Children Aged 9-35 Months Who Did Not Receive Vitamin A Dose (%) (UOM:%(Percentage)), Scaling Factor:1","Per Capita Income At Current Prices 2019-20 (UOM:INR(IndianRupees)), Scaling Factor:1"
"India","Karnataka","Bidar","Aurad","Financial Year (Apr - Mar), 2020","29.41","55.28","45.68","0.93","78.96","22.59","47.81","8.80","56.33","44.08","92057"
"India","Karnataka","Bidar","Basavakalyan","Financial Year (Apr - Mar), 2020","25.23","","43.84","2.05","76.10","21.23","50.02","8.29","38.53","59.63","107872"
"India","Karnataka","Bidar","Bhalki","Financial Year (Apr - Mar), 2020","NaN","58.23","52.15","0.35","88.09","36.47","58.40","5.25","30.03","58.35","105488"
"India","Karnataka","Bidar","Bidar","Financial Year (Apr - Mar), 2020","NaN","","36.40","0.98","86.96","29.89","47.39","8.90","52.05","59.65","125876"
"India","Karnataka","Bidar","Chitaguppa","Financial Year (Apr - Mar), 2020","19.01","44.38","31.72","1.49","87.21","NaN","54.08","11.21","47.24","64.46","105611"
"India","Karnataka","Bidar","Homnabad","Financial Year (Apr - Mar), 2020","21.75","42.64","39.11","2.19","93.45","21.20","57.87","8.62","34.56","69.39","102381"
"India","Karnataka","Bidar","Hulsoor","Financial Year (Apr - Mar), 2020","None","36.75","","3.69","None","14.24","63.13","9.02","55.15","66.89","211174"
"India","Karnataka","Bidar","Kamalnagar","Financial Year (Apr - Mar), 2020","None","62.94","40.67","","81.18","26.62","58.69","5.14","35.87","65.96","97948"
"India","Karnataka","Chamarajanagara","","Financial Year (Apr - Mar), 2020","57.09","36.67","11.00","1.35","83.74","None","43.70","13.26","30.38","61.06","1392252"
"India","Karnataka","Chamarajanagara","Gundlupet","Financial Year (Apr - Mar), 2020","NaN","50.18","8.52","1.59","NaN","8.99","41.08","16.71","30.10","54.45","95368"
"India","Karnataka","Chamarajanagara","Hanur","Financial Year (Apr - Mar), 2020","96.81","31.61","8.55","1.61","None","None","45.96","15.29","24.67","32.82","231320"
"India","Karnataka","Chamarajanagara","Kollegal","Financial Year (Apr - Mar), 2020","18.58","33.45","","1.21","92.36","16.83","38.80","9.52","19.16","64.53","142587"
"India","Karnataka","Chamarajanagara","Yelandur","Financial Year (Apr - Mar), 2020","18.63","31.05","6.96","","92.66","14.57","40.15","9.90","26.88","64.06","166500"
"India","Karnataka","Chikkaballapura","Bagepalli","Financial Year (Apr - Mar), 2020","17.19","30.81","7.52","0.01","86.68","2.13","40.18","14.84","29.57","57.61","136751"
